################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: gokulgopalakrishnan
#     Report Created on: Wed Aug 12 15:23:36 2026
#     Working Directory: /home/gokulgopalakrishnan/major_project/apb/async_fifo
#     Report Location  : ./spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_initstate01_02.csv
#     SpyGlass Version : SpyGlass_vS-2021.09-SP1
#     Policy Name      : clock-reset(SpyGlass_vS-2021.09-SP1)
#     Comment          : CSV File for initialized Sequential Elements
#
################################################################################
##Sheet_Prop:disable_row_filtering
#CrossProbeTag:AC_INITSTATE01_SS_SCH01
#RuleName:Ac_initstate01
ID,Sequentail Element Name,Initial Value,Initialization phase,Clock Name,Reset Name
1,async_fifo.w2.g_wptr_sync[5:0],000000,After Primary Set/Reset,async_fifo.rclk,async_fifo.rrst
2,async_fifo.w2.sync1[5:0],000000,After Primary Set/Reset,async_fifo.rclk,async_fifo.rrst
3,async_fifo.w1.sync1[5:0],000000,After Primary Set/Reset,async_fifo.wclk,async_fifo.wrst
4,async_fifo.w1.g_rptr_sync[5:0],000000,After Primary Set/Reset,async_fifo.wclk,async_fifo.wrst
5,async_fifo.read_dataout[7:0],00000000,After Primary Set/Reset,async_fifo.rclk,async_fifo.rrst
6,async_fifo.w1.g_wptr[5:0],000000,After Primary Set/Reset,async_fifo.wclk,async_fifo.wrst
7,async_fifo.w2.g_rptr[5:0],000000,After Primary Set/Reset,async_fifo.rclk,async_fifo.rrst
8,async_fifo.w1.b_wptr[5:0],000000,After Primary Set/Reset,async_fifo.wclk,async_fifo.wrst
9,async_fifo.w2.b_rptr[5:0],000000,After Primary Set/Reset,async_fifo.rclk,async_fifo.rrst
10,async_fifo.fifo_register[0:255],0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,After Primary Set/Reset,async_fifo.wclk,async_fifo.wrst
